date,time,category,item,amount,note
2026-04-01,22:53,餐飲,麥當勞,101,早餐
2026-04-01,22:53,餐飲,星巴克,325,午餐
2026-04-01,23:29,餐飲,711 握便當,55,晚餐
2026-04-02,12:31,餐飲,麥當勞,206,午餐
2026-04-02,23:47,餐飲,牛排,216,晚餐
2026-04-03,13:31,餐飲,拉亞漢堡,206,午餐
2026-04-03,00:07,餐飲,雞肉飯,206,晚餐
2026-04-04,00:07,餐飲,艾導蛋 鐵板麵,211,午餐
2026-04-04,00:07,餐飲,肯德基 卡拉雞腿堡餐,290,晚餐
2026-04-05,21:13,餐飲,麥味登 鐵板麵,232,午餐
2026-04-05,00:28,其他,711 番茄麵+綠茶+毛巾,213,晚餐
2026-04-06,17:33,餐飲,拉亞漢堡 勁辣炸機麵+奶茶,210,午餐
2026-04-06,23:34,餐飲,711 香菜雞肉麵+多多+雞柳條,168,晚餐
2026-04-07,14:35,餐飲,barkers 蒜辣雞肉麵,160,午餐
2026-04-07,23:57,其他,711 香菜雞肉麵+蘋果紅+衛生紙,315,晚餐+日用品
2026-04-08,19:45,餐飲,711 麵+奶茶,127,午餐
2026-04-08,19:45,餐飲,肯德基,283,晚餐
